preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.23588524811374,1994,1,,/title/tt0111161/
2,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155767928867064,1972,2,,/title/tt0068646/
3,Batman: El caballero de la noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.99207729151758,2008,3,,/title/tt0468569/
4,El padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.983818483750952,1974,4,,/title/tt0071562/
1,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.953653439038922,1957,5,,/title/tt0050083/
2,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.940504898705651,1993,6,,/title/tt0108052/
3,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.933164325321833,2003,7,,/title/tt0167260/
4,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.84590643474873,1994,8,,/title/tt0110912/
1,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8114713398447,2001,9,,/title/tt0120737/
2," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.788450064926497,1966,1,,/title/tt0060196/
3,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.766421706773208,1994,11,,/title/tt0109830/
4,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.747442703267737,1999,12,,/title/tt0137523/
1,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.737282406657442,2002,13,,/title/tt0167261/
2,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732611293899543,2010,14,,/title/tt1375666/
3,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.698150600310798,1980,15,,/title/tt0080684/
4,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.669183126396616,1999,16,,/title/tt0133093/
1,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.653433441069055,1990,17,,/title/tt0099685/
2,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.637459379645435,1975,18,,/title/tt0073486/
3,Seven,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604640460035146,1995,19,,/title/tt0114369/
4,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.597598139437375,1946,20,,/title/tt0038650/
1,Los siete samuráis,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.597567678789137,1954,21,,/title/tt0047478/
2,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.58832171108625,1991,22,,/title/tt0102926/
3,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.579934165950748,1998,23,,/title/tt0120815/
4,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579322979359107,2002,24,,/title/tt0317248/
1,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.573679016684736,2014,25,,/title/tt0816692/
2,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.568818848171924,1997,26,,/title/tt0118799/
3,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.563952923440684,1999,27,,/title/tt0120689/
4,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.547329403040608,1977,28,,/title/tt0076759/
1,Terminator 2: Juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.538438989711658,1991,29,,/title/tt0103064/
2,Volver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.517954258626391,1985,30,,/title/tt0088763/
3,El viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515929914849421,2001,31,,/title/tt0245429/
4,El pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.50800159483911,2002,32,,/title/tt0253474/
1,Psicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.50604489317511,1960,33,,/title/tt0054215/
2,Parásitos,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.500577667071038,2019,34,,/title/tt6751668/
3,El perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.491833650005175,1994,35,,/title/tt0110413/
4,El rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.487684696261738,1994,36,,/title/tt0110357/
1,Gladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.487455402835367,2000,37,,/title/tt0172495/
2,Historia americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.481047598557168,1998,38,,/title/tt0120586/
3,Los infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.47636996754402,2006,39,,/title/tt0407887/
4,Whiplash Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.46964809233934,2014,40,,/title/tt2582802/
1,El gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.469289661888732,2006,41,,/title/tt0482571/
2,Sospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.4683076029131,1995,42,,/title/tt0114814/
3,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.461022837453203,1942,43,,/title/tt0034583/
4,La tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.457013074299754,1988,44,,/title/tt0095327/
1,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.456421914620824,1962,45,,/title/tt0056058/
2,Amigos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.453017053949107,2011,46,,/title/tt1675434/
3,Tiempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.446340601522518,1936,47,,/title/tt0027977/
4,Érase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.439674347116059,1968,48,,/title/tt0064116/
1,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.43582214762363,1988,49,,/title/tt0095765/
2,La ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.435050753801749,1954,50,,/title/tt0047396/
3,"Alien, el octavo pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.433136437724677,1979,51,,/title/tt0078748/
4,Luces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.431521743680497,1931,52,,/title/tt0021749/
1,Apocalipsis ahora,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.422521253275967,1979,53,,/title/tt0078788/
2,Amnesia,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.41854316525343,2000,54,,/title/tt0209144/
3,Django sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.409700155731374,2012,55,,/title/tt1853728/
4,Los cazadores del arca perdida,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.40559723200871,1981,56,,/title/tt0082971/
1,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.39560285574401,2008,57,,/title/tt0910970/
2,La vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.383380995786926,2006,58,,/title/tt0405094/
3,El ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.378506926455277,1950,59,,/title/tt0043014/
4,Patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.371305788711913,1957,60,,/title/tt0050825/
1,El resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.364592359150093,1980,61,,/title/tt0081505/
2,El gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.363613727118366,1940,62,,/title/tt0032553/
3,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.362184392702408,2018,63,,/title/tt4154756/
4,Testigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.359320662674348,1957,64,,/title/tt0051201/
1,Alien 2: El regreso,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.342782382377328,1986,65,,/title/tt0090605/
2,Spider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.339810538677286,2018,66,,/title/tt4633694/
3,Belleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.328917554227873,1999,67,,/title/tt0169547/
4,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.326531066767979,1964,68,,/title/tt0057012/
1,Batman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.325863892205136,2012,69,,/title/tt1345836/
2,Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.319910968328971,2003,70,,/title/tt0364569/
3,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.319563939732216,2009,71,,/title/tt0361748/
4,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.316235081150271,1984,72,,/title/tt0086879/
1,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.315257464568406,2017,73,,/title/tt2380307/
2,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314052950754096,1995,74,,/title/tt0114709/
3,Corazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.312429985972633,1995,75,,/title/tt0112573/
4,Guasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.312050552564259,2019,76,,/title/tt7286456/
1,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311451059262462,1981,77,,/title/tt0082096/
2,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.303329851365259,2019,78,,/title/tt4154796/
3,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303016055993927,1997,79,,/title/tt0119698/
4,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.294246427006836,1984,80,,/title/tt0087843/
1,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.293602790863922,1997,81,,/title/tt0119217/
2,Your Name,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi",8.284362009301429,2016,82,,/title/tt5311514/
3,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.275384488081649,1952,83,,/title/tt0045152/
4,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.274660838546165,2009,84,,/title/tt1187043/
1,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.273194444674838,2000,85,,/title/tt0180093/
2,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.272528964044296,1963,86,,/title/tt0057565/
3,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.269969793145892,2010,87,,/title/tt0435761/
4,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.267776337344168,2018,88,,/title/tt8267604/
1,El regreso del jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.26399255262576,1983,89,,/title/tt0086190/
2,2001 Odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.26128439350782,1968,90,,/title/tt0062622/
3,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.261110419331786,2004,91,,/title/tt0338013/
4,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.259606089383453,1985,92,,/title/tt0091251/
1,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.257931379902175,1992,93,,/title/tt0105236/
2,La caza,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.25721862302859,2012,94,,/title/tt2106476/
3,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.248765757865847,1941,95,,/title/tt0033467/
4,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.248560820137241,1962,96,,/title/tt0056172/
1,M el Maldito,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.248238818020472,1931,97,,/title/tt0022100/
2,Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.24569864241812,1952,98,,/title/tt0044741/
3,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.244937690075211,1959,99,,/title/tt0053125/
4, De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.242148728534362,1958,10,,/title/tt0052357/
1,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.241778166012953,1960,101,,/title/tt0053604/
2,Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.240206934830066,2001,102,,/title/tt0211915/
3,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.238066183202324,1944,103,,/title/tt0036775/
4,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.237175265265572,1971,104,,/title/tt0066921/
1,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.23639220652297,1987,105,,/title/tt0093058/
2,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.234966963920407,1983,106,,/title/tt0086250/
3,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.229302008565936,2020,107,,/title/tt8503618/
4,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.22710957423202,2010,108,,/title/tt1255953/
1,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.226083325706655,1995,109,,/title/tt0113277/
2,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.225258299457042,1962,110,,/title/tt0056592/
3,Up Una aventura de altura,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.22486047639502,2009,111,,/title/tt1049413/
4,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.224406828143637,1973,112,,/title/tt0070735/
1,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.22115883685469,2011,113,,/title/tt1832382/
2,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.220800687169227,1927,114,,/title/tt0017136/
3,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.217886956652972,1997,115,,/title/tt0119488/
4,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.21771909853144,1976,116,,/title/tt0075314/
1,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.217371965433244,1988,117,,/title/tt0095016/
2,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.216510317067021,1989,118,,/title/tt0097576/
3,Snatch Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.216405617607672,2000,119,,/title/tt0208092/
4,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.215531156977377,1948,120,,/title/tt0040522/
1,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.211967819060474,2007,121,,/title/tt0986264/
2,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.210976529123354,2019,122,,/title/tt8579674/
3,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.209489730617943,2022,123,,/title/tt1745960/
4,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.203128016778498,2004,124,,/title/tt0363163/
1,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.19920645264921,2016,125,,/title/tt5074352/
2,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.198592515508604,1965,126,,/title/tt0059578/
3,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.196768351761794,2005,127,,/title/tt0372784/
4,El chico,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.190475619323202,1921,128,,/title/tt0012349/
1,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.190065833415014,1959,129,,/title/tt0053291/
2,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.18192789539564,2020,130,,/title/tt10272386/
3,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180013924999457,1950,131,,/title/tt0042192/
4,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.178762283131913,2013,132,,/title/tt0993846/
1,Green Book Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.177818141494141,2018,133,,/title/tt6966692/
2,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.171391666922696,1961,134,,/title/tt0055031/
3,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.164370308560347,1985,135,,/title/tt0089881/
